zawodnik,kraj,punkty,m100,wdal,kula,wzwyż,m400,ppł110,dysk,tyczka,oszczep,m1500,miejsce
Ashton Eaton,USA,9045,"10,23","7,88","14,52",201,45,"13,69","43,34",520,"63,63","257,52",1
Damian Warner,CAN,8695,"10,31","7,65","14,44",204,"47,3","13,63","44,99",480,"63,5","271,51",2
Rico Freimuth,GER,8561,"10,51","7,51","15,5",195,"47,82","13,91","50,17",480,"60,61","277,05",3
Ilya Shkurenev,RUS,8538,"11,01","7,5","14,09",210,"47,88","14,27","44,53",520,"60,99","264,98",4
Larbi Bourrada,ALG,8461,"10,83","7,51","13,73",207,"47,6","14,26","41,53",480,"63,82","256,61",5
Kai Kazmirek,GER,8448,"10,9","7,4","14,27",210,"46,83","14,39","40,08",520,"62,55","275,61",6
Michael Schrader,GER,8418,"10,78","7,71","14,32",195,"47,13","14,19","44,58",460,"62,09","262,3",7
Kurt Felix,GRN,8302,"11,02","7,66","15,02",210,"49,89","14,58","45,95",450,"63,41","272,57",8
Oleksiy Kasyanov,UKR,8262,"10,73","7,58","14,25",201,"48,13","13,96","45,84",480,"49,35","271,8",9
Maicel Uibo,EST,8245,"11,25","7,13","14,45",213,"50,24","15,01","43,69",510,"64,51","265,53",10
Adam Helcelet,CZE,8234,"11,09","7,29","15,3",204,"49,66","14,2","42,9",490,"63,07","277,65",11
Pieter Braun,NED,8114,"11,11","7,29","13,9",204,"48,24","14,37","42,09",490,"56,95","272,46",12
Bastien Auzeil,FRA,8093,"11,22","7,26","15,38",201,"48,66","14,71","42,63",510,"55,14","277,92",13
Thomas van der Plaetsen,BEL,8035,"11,44","7,42","13,83",213,"50,28","14,76","43,01",530,"55,23","287,38",14
Zach Ziemek,USA,8006,"10,81","7,57","13,38",204,"49,89","15,29","44,19",520,"56,5","296,66",15
Akihiko Nakamura,JPN,7745,"10,86","7,26","11,67",195,"47,81","14,72","33,48",470,"53,57","256,36",16
Pawel Wiesiolek,POL,7705,"11,07","7,08","13,5",198,"48,55","14,82","41,55",450,"54,18","279,31",17
Pau Tonnesen,ESP,7606,"11,26","7,21","13,74",204,"50,24","15,12","45,28",480,"60,42","333,73",18
Janek Oiglane,EST,7581,"11,51","6,78","14,43",192,"50,95","15,33","40,94",460,"68,51","283,06",19
Keisuke Ushiro,JPN,7532,"11,51","6,73","14,93",189,"50,85","15,43","46,85",470,"56,52","283,51",20
Jorge Urena,ESP,6858,"10,99","7,3","12,74",201,"49,17","14,41","35,2",0,"53,17","282,21",21
Niels Pittomvils,BEL,6678,"11,39","6,86","12,77",192,"49,45","15,09","39,9",0,"52,96","267,4",22
